ds,yhat,yhat_lower,yhat_upper
2005-01-01,3.543864395106722,3.4292958955944934,3.6607785364264793
2005-02-01,3.5257305190056067,3.40122053721721,3.651866215164511
2005-03-01,5.189260724149421,5.066502925290961,5.313526315575487
2005-04-01,6.1120516761140005,5.997197843872131,6.236831620164929
2005-05-01,6.384373213203974,6.2655948042689635,6.501488941996092
2005-06-01,7.40384684431611,7.284166074174438,7.523519281583505
2005-07-01,7.384991776876248,7.256255426628192,7.497694516033404
2005-08-01,6.330811569757835,6.209594860785826,6.450552077232487
2005-09-01,5.081076539371971,4.968956282431587,5.204640765418599
2005-10-01,4.804997303921574,4.686157541358633,4.921910390351716
2005-11-01,4.527992131554725,4.411491596526227,4.639651510131628
2005-12-01,5.094325481133758,4.98027048072889,5.2135330102907975
2006-01-01,3.348421081639574,3.2295930130317076,3.465452470206512
2006-02-01,3.333875456416945,3.212776444630277,3.4485517518433744
2006-03-01,5.006879455244463,4.887761663392941,5.132923848559745
2006-04-01,5.955368354190973,5.841363024297982,6.083013565625848
2006-05-01,6.247449732707244,6.1311702446767775,6.363166149382254
2006-06-01,7.291229261709459,7.1710716651729225,7.419119010801974
2006-07-01,7.291742969057727,7.165064443722806,7.418238727699978
2006-08-01,6.258999859817237,6.136219054573817,6.3935734279529015
2006-09-01,5.029577000779588,4.916242831352116,5.159370617474733
2006-10-01,4.778282306806787,4.652536516373867,4.8938408448494455
2006-11-01,4.527771298999135,4.407438511161985,4.650017690203632
2006-12-01,5.1438685819355765,5.024948978950332,5.271618506119685
2007-01-01,3.424909874059964,3.302911896808087,3.5564998317020526
2007-02-01,3.4564503181208623,3.339616593265123,3.577339277027937
2007-03-01,5.179473933989559,5.06167675499731,5.297189013271123
2007-04-01,6.14966097361391,6.0191090066343484,6.269965598006013
2007-05-01,6.460326577312486,6.334687981908027,6.578057125257343
2007-06-01,7.523586052288454,7.410193076889426,7.6533746097610855
2007-07-01,7.512598960169041,7.390731255811252,7.627795308171721
2007-08-01,6.465816270738568,6.3460689369519026,6.588821563780564
2007-09-01,5.2222743257638475,5.102014851051371,5.342841505345098
2007-10-01,4.963016515677622,4.842146066923363,5.0851576290282186
2007-11-01,4.704819596903481,4.588318850197015,4.827035430980068
2007-12-01,5.298019095508535,5.172975695889229,5.42737776273929
2008-01-01,3.532108489648791,3.4096108512625882,3.656379585044678
2008-02-01,3.53326120965544,3.4117973656508904,3.653407492735732
2008-03-01,5.223619277392185,5.111989676115025,5.347439781466153
2008-04-01,6.155656555835961,6.032739416116626,6.2728435831983616
2008-05-01,6.444745916729186,6.329496255217534,6.564904965170062
2008-06-01,7.4740423319452765,7.35085646388396,7.589569992777722
2008-07-01,7.472740464254397,7.353204667730631,7.589507310107992
2008-08-01,6.431721571565466,6.305724647604112,6.5566444998425775
2008-09-01,5.197711433020814,5.080369177233285,5.322371926113938
2008-10-01,4.932304798352822,4.807504843891488,5.0545473656072994
2008-11-01,4.665114633529873,4.546892588026259,4.787725398742017
